000	El gato básico.<br><br>	Punto a favor: sus músculos están bien definidos.<br>El gato básico.<br>	Punto a favor: sus músculos están bien definidos.<br>Otro punto a favor: ¡tiene pelazo!<br>
435	La hermana pequeña de la Valquiria y la mejor agente del<br>Valhalla, siempre dispuesta a defender los reinos mortales.<br>Puede romper barreras. (Ataque de área).	La hermana pequeña de la Valquiria. La naturaleza la ha<br>bendecido con control sobre todas las fuerzas terrestres.<br>Puede romper barreras. (Ataque de área).	
436	No está muy claro si es un gato...<br>Hay algo que no cuadra...<br>¿Será el bigotazo?	Ya no lo soporto más...<br>Este parece que es inmune a las oleadas.<br>(Ataque de área a distancia).	¿Monstruo? ¿Mago? ¿O un simple gato?<br>Nadie es capaz de explicar sus poderes.<br>Inmune a oleadas. (Ataque de área a distancia).
437	Por fin el Misidiós se ha unido a la batalla. Su<br>estornudo sagrado repele a todos los enemigos excepto<br>a los metálicos. Sus omniataques también molan bastante.	Brilla con un propósito glorioso y un carisma divino. Su<br>estornudo sagrado repele a todos los enemigos excepto<br>a los metálicos. Sus omniataques también molan bastante.	Una deidad tan esplendorosa que echa para atrás.<br>Su estornudo sagrado repele a todos los enemigos excepto<br>a los metálicos. Sus omniataques también molan bastante.
438	Una joven valiente que regenta un bar tiki en la playa.<br>Parece que a los chicos no les importan mucho sus insultos.<br>Eficaz contra zombis y voladores. (Ataque de área).	Una chica playera con mucho genio que mantiene a raya<br>a los abusones de la playa desde su tabla motorizada.<br>Eficaz contra zombis y voladores. (Ataque de área).	
439	Una titanesa poderosa que salvó al universo del caos.<br>Mantiene el orden con su Cacharro del Destino.<br>Paraliza a enemigos con rasgos. (Ataque de área a distancia).	Moldeó la realidad a partir de materia primigenia gracias a<br>su manejo del Cacharro del Destino. Cuidadito con ella.<br>Paraliza a enemigos con rasgos. (Ataque de área a distancia).	Con el poder del fruto de la creación, mantiene a raya<br>el caos que amenaza con devorar el universo. Sus ataques<br>de área a distancia paralizan a enemigos con rasgos.
440	From Madoka Magica The Movie -Rebellion-!<br>Mami's adorable, cheese-loving partner.<br>Area attacks Weaken Aliens and Zombies.	From Madoka Magica The Movie -Rebellion-!<br>New Magical Girl who appears before Madoka.<br>Area attacks Weaken Aliens and Zombies.	
441	Un guerrero errante que busca impartir justicia.<br>Se parece a cierto Miausquetero... Se fortalece al<br>sufrir daño y es eficaz contra todos los enemigos sin rasgos.	No hay nada que valore más que la justicia, y se sacrifica por<br>todos con gusto. Se fortalece al sufrir daño<br>y es eficaz contra todos los enemigos sin rasgos.	
442	Un asesino profesional que vaga por los parques con su<br>churumbel para vengarse de quienes tiren basura.<br>Duro contra enemigos sin rasgos; los repele y los paraliza.	El Gato Solitario está enfermo, así que el Gatito<br>travieso ayuda a mamá a vender bebidas en el tren.<br>Duro contra enemigos sin rasgos; los repele y los paraliza.	El papá y el chiquillo se han ido de escapada tropical.<br>El crío va metido en una maleta para ahorrarse el billete.<br>Duro contra enemigos sin rasgos; los repele y los paraliza.
443	El corazón del equipo de mineros de Grandon.<br>Su sueño es llegar hasta el centro de la Tierra.<br>Ataca a distancia y desgasta a enemigos sin rasgos.	El especialista en excavaciones de los valientes gatos<br>de Grandon. ¡Su antena detecta un tesoro enterrado!<br>Ataca a distancia y desgasta a enemigos sin rasgos.	El especialista en excavaciones. Tiene una antena nueva<br>para encontrar más tesoros. Eficaz contra enemigos<br>sin rasgos. Ataques a distancia que desgastan.
444	Clava estacas en lo más profundo de la tierra. No le hace<br>falta tu permiso para taladrar lo que le dé la real gana.<br>Duro contra zombis y los repele. (Omniataque).	Los demás gatos de Grandon le tienen un poco de miedo.<br>Como algo no le guste, te planta una estaca en la nariz.<br>Duro contra zombis y los repele. (Omniataque).	El especialista en perforaciones. Dirige los ataques<br>como una aguja a través del hilo.<br>Duro contra zombis y los repele. (Omniataque).
445	Pluriempleado trabajando para los gatos de Grandon.<br>Superfuerte contra enemigos rojos. Sobrevive a golpes<br>mortales y se fortalece tras sufrir daño.	Obtuvo un fogón de última tecnología para preparar mejores<br>platos. Superfuerte contra enemigos rojos. Sobrevive a golpes<br>mortales y se fortalece tras sufrir daño.	El especialista en corte y confección. Viene de una familia<br>de obreros. Superfuerte contra enemigos rojos. Siempre<br>sobrevive y se fortalece tras sufrir daño. Ataque de área.
446	Nadie excava como él. Y si intentas igualarlo, perderás.<br>Solo ataca a enemigos metálicos. Puede infligir daño crítico.<br>Consigue dinero extra al vencer enemigos.	Su técnica de recogida de tierra emociona a cualquiera.<br>Solo ataca a enemigos metálicos. Puede infligir daño crítico.<br>Consigue dinero extra al vencer enemigos.	El hoyo perfecto es un regalo divino. Solo ataca a enemigos<br>metálicos. Ataca con réplicas y puede infligir daño crítico.<br>Consigue dinero extra al vencer enemigos.
447	El aserrador residente de los gatos de Grandon.<br>Le repatea cuando las cosas no están partidas en dos.<br>Superfuerte y duro contra álienes.	Qué aburrimiento cuando no hay nada que cortar...<br>En la caja lleva la compra para su mamá.<br>Superfuerte y duro contra álienes.	El gurú de la sierra, pues se ha fusionado con su máquina.<br>Ahora su potencial no tiene límites.<br>Superfuerte y duro contra álienes.
448	Un espadachín errante que ha viajado al reino de la matanza<br>para formarse en el dominio de la espada Nichirin.<br>Duro y megafuerte contra enemigos negros.	La sangre que mancha sus manos ha convertido la Nichirin<br>en una espada Getsurin maldita. Ni te plantees sobrevivir...<br>Duro y megafuerte contra enemigos negros.	
449	Respetada líder de la Ciberacademia. Castiga a los malos<br>estudiantes con lanzas etéreas. Megafuerte contra<br>enemigos rojos y voladores. (Ataque de área a distancia).	Últimamente su filosofía educativa es más... despiadada.<br>Pero ¿quién se atreve a quejarse? Megafuerte contra<br>enemigos rojos y voladores. (Ataque de área a distancia).	Últimamente su filosofía educativa es más... despiadada.<br>Pero ¿quién se atreve a quejarse? Megafuerte contra enemigos<br>enemigos rojos y voladores. (Ataque de área a distancia).
450	El dragón original que se fundió con el castillo<br>celestial que gobierna los reinos mortales. Superduro<br>contra enemigos rojos y voladores. (Ataque de área).	Su naturaleza de dragón ha corrompido poco a poco<br>el castillo celestial a lo largo de los milenios. Superduro<br>contra enemigos rojos y voladores. (Ataque de área).	Un dragón legendario con propiedades de Matacolosos.<br>Superduro contra enemigos rojos y voladores.<br>(Ataque de área)
451	Un héroe celestial que ha jurado vengar a su padre.<br>Su flauta mágica puede rastrear a las unidades malvadas.<br>Duro contra ángeles. (Ataque de área demencial).	El invencible aliado mecánico de Ushi, al que lo acompaña.<br>Ahora la victoria contra las unidades malvadas está servida.<br>Duro contra ángeles. (Ataque de área demencial).	
452	Un felino primitivo de una época antigua. Tiene una<br>estupenda cola con aletas y unas útiles agallas.<br>Duro contra enemigos metálicos y reliquias.	Este gato tan raro estaba echando la siesta en el alféizar.<br>Tiene unas proporciones rarísimas, ¿verdad?<br>Duro contra enemigos metálicos y reliquias.	Viene de un tiempo remoto en el que los gatos son muy cultos<br>y caminan a dos patas. Le gustan los Friskas con curry.<br>Es superduro contra enemigos metálicos y reliquias.
453			
454			
455	Una chica policía cósmica que persigue a los criminales<br>interdimensionales con sus rayos de plasma y justicia.<br>Paraliza a enemigos rojos, negros y ángeles con oleadas.	La detective más estilosa de la galaxia. Se ocupa del crimen<br>cósmico con su rayo supermoderno. Paraliza a enemigos<br>rojos, negros y ángeles con oleadas. (Ataque de área).	
456	Joining the fight from Fate/stay night [HF]!<br>Takes charge of daily care for the Emiya house.<br>Tough vs Black/Aliens/Zombies (Area Attack)	Joining the fight from Fate/stay night [HF]! Fears<br>that Shirou will fall victim to the Holy Grail War.<br>Tough vs Black/Aliens/Zombies (Area Attack)	Dark Sakura joins the fight from Fate/stay night [HF]!<br>After accepting darkness into herself, Sakura assumed this form.<br>Tough vs Black/Aliens/Zombies (Area Attack)
457	A Cat who strives to be a defender of justice.<br>Spent months in his room trying to summon<br>a Heroic Spirit. Strong vs. Black enemies.	Still hasn't succeeded at Heroic Spirit<br>summoning. Now leaves his room sometimes<br>to do night patrols. Strong vs. Black enemies.	
458	A Heroic Cat Spirit proficient with both bow<br>and blade. Who knows why he dislikes<br>Shirou the Cat so? Immune to Wave Attacks.	Mastered the bow in order to claim the title<br>of Archer. His hate for Shirou the Cat keeps<br>him up at night. Long-range, Immune to Waves.	
459	A Cat who wields dagger and chain with<br>grace. At a slight visual disadvantage thanks<br>to her mask. Chance to Freeze Angels.	Gained command of a legendary lifeform.<br>Can't see much due to the mask and<br>Pegasus' head. Chance to Freeze Angels.	
460	A Cat-priest with a taste for extra-spicy mapo tofu,<br>and a Cat Spirit with flawless tactical sense.<br>Might weaken Black, stronger after damage.	One Cat has begun to tire of the game of battle,<br>but the other still can't get enough mapo tofu.<br>Might weaken Zombies, stronger after damage.	
461	No está muy claro si es un gato...<br>Hay algo que no cuadra...<br>¿Será ese cristal pandimensional?...	¡Tiembla con su poder inigualable!<br>No hay duda de que este es<br>inmune a oleadas. (Omniataque).	
462	Una forma de vida antigua que fue destruida por el Chucho,<br>pero conseguimos restaurarla con pegamento instantáneo.<br>Omniataque que siempre paraliza a enemigos sin rasgos.	El Gato Misterioso que se creía que se había perdido en<br>el universo. Se ha pintado con unos colores más chulis.<br>Omniataque que siempre paraliza a enemigos sin rasgos.	Invade nuestro mundo desde otra dimensión.<br>Bajo poder por cobertura inestable (omniataque).<br>Siempre paraliza a enemigos reliquias y sin rasgos.
463	Una gema titilante centra todas las fuerzas místicas en un<br>inestable pero potentísimo ataque. Omniataque, inmune<br>a oleadas y con superresistencia y superfuerza contra zombis.	Ni los mejores ingenieros garantizan que el mundo esté a<br>salvo de su poderío destructivo. Omniataque, inmune<br>a oleadas y con superresistencia y superfuerza contra zombis.	
464	Los chuchos lo pusieron a la venta en iBay para recaudar<br>fondos para su próxima misión, pero no ganaron nada.<br>Muy resistente contra enemigos sin rasgos. (Ataque de área).	Los estudios demuestran que fue creado por gatos que se lo<br>vendieron a los chuchos como elemento decorativo.<br>Muy resistente contra enemigos sin rasgos. (Ataque de área).	Alcanzó su máximo potencial al encontrar las armas adecuadas<br>en el mercadillo local. Matacolosos, matamastodontes.<br>Duro contra enemigos reliquias y sin rasgos (ataque de área).
465			
466	The younger twin of Super Zeus,<br>second child of the goddess Nadia.<br>Insane Long-range Area damage to Traitless.	Soars in the sky while wielding magic power from<br>the 6 sacred eggs. Is he a devil, or an angel?<br>Insane Long-range Area damage to Traitless.	
467	The highest power of the heavenly realms created<br>by Nadia, with a weakness for women and money.<br>Tough vs Traited, Area attacks 100% Weaken.	Bearing unlimited strength, he holds back the<br>forces of darkness from invading the mortal realms.<br>Tough vs Traited, Area attacks 100% Weaken.	All-powerful god, beloved of the sun, whose<br>growing power now befits the title of holy emperor.<br>Tough vs Traited, Area attacks 100% Weaken.
468	The embodiment of perfect love and courage,<br>becoming yet greater with every new rebirth.<br>Chance to Freeze Floating/Black/Aliens	Denizen of a realm beyond time and space, who<br>achieves his highest form after reaching lightspeed.<br>Chance to Freeze Floating/Black/Aliens (Area Atk)	Pioneering a realm of being beyond mortal vision,<br>the fires of heaven feed his growing powers.<br>Strong vs/Freeze Floating/Black/Aliens
469	Reigning over the realms of darkness, all demons<br>are bound to obey his infernal commandments!<br>Long-range Area attacks Slow Angels.	Deceiver who captures naive angels and<br>recruits them to the cause of the netherworld!<br>Long-range Area attacks Slow Angels.	The embrace of an uncanny moonlight has granted<br>him the ultimate dark power to rule over all reality.<br>Long-range Area attacks Slow Angels.
470	Having stolen the six sacred orbs of power<br>She has achieved unspeakable strength!<br>Immune to Waves, Massive damage to Red	Veteran of countless battles, she commands the<br>orbs to open to the gates to a higher dimension.<br>Immune to Waves, Massive damage to Red	
