000	Il gatto base<br><br>	Punto a favore: definizione muscolare.<br>Gatto base.<br>	Punto a favore: definizione muscolare.<br>Altro punto a favore: capelli bellissimi.<br>
467	The highest power of the heavenly realms created<br>by Nadia, with a weakness for women and money.<br>Tough vs Traited, Area attacks 100% Weaken.	Bearing unlimited strength, he holds back the<br>forces of darkness from invading the mortal realms.<br>Tough vs Traited, Area attacks 100% Weaken.	All-powerful god, beloved of the sun, whose<br>growing power now befits the title of holy emperor.<br>Tough vs Traited, Area attacks 100% Weaken.
468	The embodiment of perfect love and courage,<br>becoming yet greater with every new rebirth.<br>Chance to Freeze Floating/Black/Aliens	Denizen of a realm beyond time and space, who<br>achieves his highest form after reaching lightspeed.<br>Chance to Freeze Floating/Black/Aliens (Area Atk)	Pioneering a realm of being beyond mortal vision,<br>the fires of heaven feed his growing powers.<br>Strong vs/Freeze Floating/Black/Aliens
469	Reigning over the realms of darkness, all demons<br>are bound to obey his infernal commandments!<br>Long-range Area attacks Slow Angels.	Deceiver who captures naive angels and<br>recruits them to the cause of the netherworld!<br>Long-range Area attacks Slow Angels.	The embrace of an uncanny moonlight has granted<br>him the ultimate dark power to rule over all reality.<br>Long-range Area attacks Slow Angels.
470	Having stolen the six sacred orbs of power<br>She has achieved unspeakable strength!<br>Immune to Waves, Massive damage to Red	Veteran of countless battles, she commands the<br>orbs to open to the gates to a higher dimension.<br>Immune to Waves, Massive damage to Red	
471	Holy android created by 12 archangels. Rumors<br>say that its powers unbalanced could undo reality.<br>Strong vs. Floating enemies.	The ultimate sacred weapon created by the highest<br>authority in Heaven to suppress the forces of evil.<br>Strong vs. Alien enemies.	
472	A chaos too great for even the netherworld bursts<br>forth... will this flame consume even the heavens?<br>Massive Omnistrike damage to Zombies	The infernal kings' power brought this<br>nemesis of the angels to his full potential.<br>Massive Omnistrike damage to Zombies	
473	Angel born from the heart of heavenly power,<br>wielding a sword that strikes down devils.<br>Massive Area damage to Aliens/Zombies	Revealed the next world via harmonic power.<br>With dawn blade in hand, the prophecy is fulfilled!<br>Massive Area damage to Aliens/Zombies	Hidden strength emerges from within thanks<br>to the blessings of Rococo's sacred light.<br>Massive Area damage to Aliens/Zombies
474	Generates radiant light by the power of Amen<br>and Wink Eye that subdues even the fiercest<br>devil. Might Weaken Red enemies.	Shoots down invading demons with her Golden<br>Cross cannon. Her devotion to the cause of the<br>holy egg is unshakeable. Might Weaken Red/Black.	Watches over the holy labyrinth with the teachings<br>of the sages behind her. Smashes evil with her<br>righteous cross. Might Weaken Red/Black/Zombies.
475	Angel born in the Holy Cat realm. Sworn to slay<br>the wicked devil-doges by the power of Light.<br>Strong vs Black (Area Attack)	Gathers the divine harmonic forces of the Cats to<br>open the gates to a new realm of holy potential.<br>Strong vs Black (Area Attack)	
476	Behold the next stage of devilish evolution!<br>Gimme a Catfruit and I might let you live!<br>Strong vs Angels (Area Attack)	The lord of devils. His ambition threatens<br>to consume all light, love, and Cat Food.<br>Strong vs Angels (Area Attack)	
477	My mighty body will fend off devilish attacks!<br>(If it's too much, I'll just get an angel to step in.)<br>Strong vs Aliens (Area Attack)	Defender of a profitable holy meatball business.<br>Still, sometimes the angels have to lend a hand.<br>Strong vs Aliens (Area Attack)	
478	La manifestazione elementale definitiva, proiettata<br>da una stella morente alla fine dell'universo.<br>Incredibilmente forte, possib. di indebolimento, sfondamento.	Onnisciente visionaria cosmica dal futuro, con la<br>padronanza di tutti gli elementi può ignorare le barriere.<br>Incredibilmente forte, 100% indebolimento, sfondamento.	
479			
480			
481	Uno spaventoso scienziato ossessionato con l'idea di<br>usare potere extradimensionale per sublimare la materia.<br>Forte contro nemici neri e alieni con attacchi ad area.	Rinomato ricercatore temporale che ha sfruttato<br>l'arcano potere cristallino che annienta la materia terrena.<br>Attacchi ad area infliggono danni enormi a nemici neri e alieni.	
482	Yuki's brother, who arrived in the world beyond as a<br>boy. Seeking to advance past the sins of the past.<br>Area attacks might Slow and Weaken Angels/Aliens.	Souma was saved from being swept up by a Cat<br>and granted powers to summon lost souls.<br>Area attacks might Slow and Weaken Angels/Aliens.	In solidarity, Souma has grown a pair of cat ears.<br>His power is resonate and his soul is powered up.<br>Area attacks Slow and Weaken Floating/Angels/Aliens.
483	Heroes from Shoumetsu Toshi! Two wanderers in<br>the ruins of the city, confronting their own sins.<br>Tough vs Aliens, Area Attack	Joined by a Cat picked up at the seaside, our<br>wanderers set their sights on the ruined city.<br>Tough vs Aliens, Area Attack	
484	La sorellina di Valchiria, segnata dall'oscurità.<br>Agente del Valhalla, sconfigge il male dall'abisso!<br>Blocca ondate nemiche! Colpisce con attacchi a ondata!	La più giovane sorella di Valchiria, temuta cacciatrice di<br>taglie. Va a cavallo per scovare gli agenti del male.<br>Blocca ondate nemiche! Colpisce con attacchi a ondata!	
485			
486			
487	Recruited from Evangelion!<br>Anti-NERV production model maintained by WILLE.<br>Long-range debuffs versus Floating enemies!	Recruited from Evangelion! Wields a variety<br>of weapons but specializes in providing cover fire.<br>Long-range debuffs versus Floating enemies!	
488	Cats have taken over WILLE's flagship! Seems they<br>respected the original design and avoided customizing it.<br>Massive Area damage vs. Angels and Zombies.	Cat-powered airship built to overthrow NERV.<br>A terrifying weapon staffed by capricious Cats...<br>Massive Area damage vs. Angels and Zombies.	Giant airship with only the captain remaining onboard.<br>Ready to do what it must to bear the hopes of Catkind.<br>Massive Area damage vs. Angels and Zombies.
489	Recruited from Evangelion! A bright and<br>charismatic officer who acts as Shinji's guardian.<br>Might break Barriers and Slow Aliens!	Recruited from Evangelion! The ruthless<br>leader of the anti-NERV organization WILLE.<br>Might break Barriers and Slow Aliens!	
490	Recruited from Evangelion! Cool researcher<br>from NERV's technical development team.<br>Area attacks might Weaken Aliens.	Recruited from Evangelion! After becoming<br>a WILLE officer, treats Shinji coolly.<br>Area attacks might Weaken Aliens.	
491	Recruited from Evangelion!<br>But it seems she has no memory of Shinji...?<br>Tough vs Black, Area attacks might Weaken.	Recruited from Evangelion!<br>Beginning to wonder about her true identity...<br>Tough vs Black, Area attacks might Weaken.	
492			
493	L'origine di tutta la Vita... può scegliere<br>di disfare tutto ciò che vuole. Attacchi ad area<br>a distanza infliggono danni estremi ai nemici con tratti.	La dea suprema, che guida il mana nato<br>dall'albero del mondo per annientare i nemici del bene.<br>Danni estremi ai nemici con tratti. (Att. ad area a distanza)	
494	Una bellezza che ha ottenuto il comando della sua nave!<br>Ora deve solo impedire ai Gatti di affondarla.<br>Può immobilizzare nemici rossi, neri o metallici!	Le referenze della sua ciurma di Gatti le ha fatto ottenere<br>un altro turno. Niente è come un tramonto con un gatto!<br>Può immobilizzare nemici rossi, neri o metallici!	
495	Impavido torero che schiva il pericolo con un sonoro Olé!<br>Pacifista nell'animo, la sua unica arma è il mantello rosso.<br>Una possibilità di schivare gli attacchi rossi.	Brava ballerina che schiva i pericoli con sonori Olé!<br>Sa come schivare gli attacchi rossi (e le avances<br>non richieste di certi gattacci).	Ha grande talento per una forte e splendida danza.<br>Un velo luccicante e movimenti ipnotici la aiutano<br>a confondere i nemici e a schivare attacchi dai nemici rossi.
496	Questa splendida guerriera è dotata di una lama<br>invincibile e di un corpo deciso.<br>Rallenta i nemici neri/zombi, può infliggere colpi letali.	Incomparabile bellezza che distrugge senza pietà<br>i nemici mantenendo perfetta compostezza in battaglia.<br>Rallenta i nemici neri/zombi, può infliggere colpi letali.	Questa solenne eroina ha resistito alla corruzione<br>delle armi maledette e cerca solo di portare la pace.<br>100% rallentamento vs nemici neri/zombi, possib. di colpi letali.
497	With extinction looming, this Cat<br>will survive by evolving a mightier jaw.<br>	Sometimes a jaw isn't enough?<br>Get swole for MORE POWER!<br>	
498	Joining the fight from Shakurel Planet!<br>Do you feel like that super chin makes<br>the King of the Beasts a bit less regal?	Joining the fight from Shakurel Planet!<br>The symbol of power is no longer the mane,<br>but the JAW! ...said the press release.	
499	Joining the fight from Shakurel Planet!<br>I would have liked to grow wings, but<br>instead I evolved a powerful chin.	Joining the fight from Shakurel Planet!<br>Hey, where are the stripes on my jaw?!<br>Can't those Cats do anything right?	
500	Joining the fight from Shakurel Planet!<br>Leaves just don't satisfy anymore... maybe<br>bones, trees and rocks are more filling.	Joining the fight from Shakurel Planet!<br>Even though I can now chew up bones,<br>trees and rocks, I can't give up on bamboo.	
501	Joining the fight from The Battle Cats Unite!<br>We love games and are Super friends!<br>Tough vs Traitless enemies! (Area Attack)	Joining the fight from The Battle Cats Unite!<br>Even when we grow up, we'll never stop playing!<br>Tough vs Traitless enemies! (Area Attack)	Joining the fight from The Battle Cats Together!<br>Even when we grow up, we'll never stop playing!<br>Tough vs Traitless enemies! (Area Attack)
502	I soldi non comprano la felicità, ma comprano un piccolo<br>arsenale che la rende davvero molto felice.<br>Attacchi a ondata, può schivare attacchi dei senza tratti.	Maggiorobot si scusa infinitamente per il passo falso di Myr<br>(e per la scia di distruzione che ha lasciato dietro di sé).<br>Attacchi a ondata, può schivare attacchi dei senza tratti.	Principessa spaziale borghese che vive nel lusso,<br>non resiste alla voglia di cheeseburger a buon mercato.<br>Attacchi a ondata, può schivare attacchi dei senza tratti.
503			
504			
505	Gigantesca bestia con le corna, sputa feroci<br>fulmini che scuotono il firmamento stesso.<br>Può respingere/rallentare nemici senza tratti.	Nessuno può opporsi a questo re che custodisce<br>l'anima delle tempeste e un'armatura impenetrabile.<br>Può respingere/rallentare nemici senza tratti.	Si è immerso nella luce della distruzione in un monte sacro e<br>ha capito il potere di distruggere tutte le vite. (Att area)<br>Respinta/rallentamento al 100% vs senza tratti.
506	Joining the fight from Merc Storia!<br>Renounced his pirate past to become a marine.<br>100% Survives, Chance of Savage Blow. (Area)	Joining the fight from Merc Storia!<br>Wields power for the cause of one special person.<br>100% Survives, Chance of Savage Blow. (Area)	Joining the fight from Merc Storia! A nameless pirate<br>who wants to be relieved of the power that he wields.<br>100% Survives, Chance of Savage Blow. (Area)
507	Gatto in calzamaglia che si libra in cielo ed è<br>preoccupato di essere licenziato dal suo lavoro part-time.<br>Indebolimento ai senza tratti, annulla attacchi a ondata.	È diventato più grosso grazie alla fame nervosa.<br>Si esercita a cantare nel parco quando non c'è nessuno.<br>Indebolimento ai senza tratti, annulla attacchi a ondata.	
508	A Cat endlessly training to fight the strongest<br>warriors. Sadly, none seem to be around now.<br>Might Freeze Black enemies.	I hoped to meet one warrior stronger than me.<br>Sadly, everyone seems to fit that description.<br>Might Freeze Black enemies.	
509	A Cat who seems to have stuck buns in her<br>hair. Trying to learn the Spinning Bird Kick.<br>Small chance of Critical.	Beautiful Cat working for the ICPO.<br>Mesmerizing kicks stun her opponents.<br>Small chance of Critical.	
510	Joining the fight from Street Fighter V!<br>Seeks mighty warriors to fight to the death.<br>Insane Area damage vs. Traitless.	Joining the fight from Street Fighter V!<br>Master of the Fist, attacks with pure killing spirit.<br>Insane Area damage vs. Traitless.	
511	Joining the fight from Street Fighter V!<br>A hero walking the path of a true fighter.<br>Chance to deliver a Savage Blow (Area Attack)	Joining the fight from Street Fighter V!<br>Seeking a rival who will finally test his skills.<br>Chance to deliver a Savage Blow (Area Attack)	Joining the fight from Street Fighter V!<br>Embraced the forbidden power of the Dark Hado.<br>Stronger after damage, chance of Savage Blow!
512	Joining the fight from Street Fighter V!<br>ICPO agent searching for her lost father.<br>Might Knockback Red, Black, and Aliens.	Joining the fight from Street Fighter V!<br>Can you withstand her lightning kicks?<br>Might Knockback Red, Black, and Aliens.	
513	Joining the fight from Street Fighter V!<br>Hardened soldier seeking peace for his home.<br>Tough vs Floating, Slow/Weaken	Joining the fight from Street Fighter V!<br>Crush villains with a Somersault Kick!<br>Tough vs Floating, Slow/Weaken	
514	Joining the fight from Street Fighter V!<br>A towering wrestler called "Red Cyclone".<br>Omnistrike, might avoid Zombie damage	Joining the fight from Street Fighter V!<br>Submit to the force of his Cyclone Lariat!<br>Omnistrike, might avoid Zombie damage	
515	Joining the fight from Street Fighter V!<br>Gentle defender of the Amazon forests.<br>Massive Omnistrike damage vs Aliens	Joining the fight from Street Fighter V!<br>Strikes with a chaotic Rolling Attack!<br>Massive Omnistrike damage vs Aliens	
