000	Die Standardkatze.<br><br>	Verkaufsargument: definierte Muskeln.<br>Standardkatze.<br>	Verkaufsargument: definierte Muskeln.<br>Zusatzargument: hübsche Frisur.<br>
426	Eine alte Superwaffe, die von einem geheimnisvollen Labor<br>gemietet wurde. Die Katze ist ein Fahranfänger, ihre wahre<br>Macht wird also noch nicht ausgeschöpft. Flächenangriff.	Hat ohne Erlaubnis einige Veränderungen vorgenommen ...<br>Die alte Panzerung mit Titanplatten zu ersetzen verstößt<br>definitiv gegen den Mietvertrag. Flächenangriff.	Selbst nach dem Bußgeld hat die Katze noch Umbauten<br>vorgenommen. Sie hat experimentelle Technologie nach alten<br>Prototypplänen eingebaut. Flächenangriff.
427	Eine tapfere Truppe Katzen, die den König des Bösen besiegen<br>will. Chance auf Haudrauf. Schwächt rote, schwarze und<br>fliegende Feinde garantiert. Distanz-Flächenangriff.	Der Auserwählte und 11 mutige Abenteurer.<br>Chance auf Haudrauf. Schwächt rote, schwarze und<br>fliegende Feinde garantiert. Distanz-Flächenangriff.	Unsere Abenteurer folgen ihrer Quest in die Lüfte!<br>Chance auf Haudrauf. Schwächt rote, schwarze, fliegende<br>und Relikt-Feinde garantiert. Distanz-Flächenangriff.
428	A boy lost to the destruction, reborn as a<br>Cat who makes ominous statements.<br>100% chance of Wave Attack.	Over time, the boy-turned-Cat evolved the<br>powerful legs from his time as a human.<br>100% chance of Wave Attack.	
429	Cat bearing the spirit of a legendary programmer<br>dedicated to teaching the world through his blog.<br>Long-distance attacks 100% Weaken non-Metal.	An expert techie who knows any machine inside<br>and out. Yesterday, his own blog was hacked...<br>Long-distance attacks 100% Weaken non-Metal.	
430			
431	Wunderkind des Ministeriums für teuflische Ermittlungen.<br>Hat schon 665 Fälle gelöst.<br>Wellenangriffe können fliegende/Alien-Feinde einfrieren.	Dieser abgebrühte Veteran kam der Wahrheit zu nah und hat<br>eine Verschwörung höllischen Ausmaßes aufgedeckt.<br>Wellenangriffe können Aliens und Zombies einfrieren.	Hat seine wahre Kraft erkannt, nachdem er die korrupten<br>Erzdämonen gestellt hat. Zeit für den letzten Richtspruch!<br>Wellenangriffe frieren Zombies garantiert ein.
432	Joining the fight from Betakkuma!<br>Weirdly cute white bear with some slick moves.<br>Might knockback Aliens.	Joining the fight from Betakkuma!<br>Changed colors after training by an assassin's guild.<br>Might knockback Aliens.	
433	Inspired by a weirdly cute white<br>bear, has mastered those slick moves.<br>Might knockback Black enemies.	Embracing its savage instincts, it<br>rains rapid-fire blows on its enemy.<br>Might knockback Black enemies.	
434			
435	Walküres kleine Schwester. Die beste Kämpferin Walhallas<br>ist für die riskante Verteidigung der Reiche der Sterblichen<br>verantwortlich. Flächenangriffe können Barrieren zerstören.	Walküres kleine Schwester. Die Natur selbst hat ihr die<br>Kontrolle über alle Kräfte der Erde geschenkt.<br>Flächenangriffe können Barrieren zerstören.	
436	Unsicher, ob das wirklich eine Katze ist ...<br>Irgendwas stimmt nicht<br>mit diesem coolen Schnurrbart ...	Ich halte es nicht mehr aus ...<br>Dieses Kerlchen ist anscheinend immun gegen<br>Wellenangriffe. (Distanz-Flächenangriff).	Monster? Magier? ... Oder nur eine Katze?<br>Niemand weiß, wie seine Macht funktioniert.<br>Immun gegen Wellenangriffe (Distanz-Flächenangriffe).
437	Endlich hat sich der Katzengott dem Kampf angeschlossen!<br>Sein heiliges Niesen stößt alle außer eiserne Feinde zurück<br>und seine Rundumschläge sind auch echt cool.	Voll glorreicher Entschlossenheit und himmlischem Charisma.<br>Sein heiliges Niesen stößt alle außer eiserne Feinde zurück<br>und seine Rundumschläge sind auch echt cool.	Eine so glänzende Gottheit, dass es geradezu widerlich ist.<br>Sein heiliges Niesen stößt alle außer eiserne Feinde zurück<br>und seine Rundumschläge sind auch echt cool.
438	Ein feuriges Mädchen, dass eine Tiki-Bar am Strand betreibt.<br>Die Jungs am Strand scheint ihre fiese Ader nicht zu stören.<br>Stark gegen fliegende/Zombie-Feinde. Flächenangriff.	Ein wildes Strandmädchen, das die Küstenraufbolde in Schach<br>hält, indem sie in ihrem persönlichen Rennboot patrouilliert.<br>Stark gegen fliegende/Zombie-Feinde. Flächenangriff.	
439	Eine allmächtige Titanin, die das Universum vor dem Chaos<br>schützte und Ordnung mit ihrer Schicksalsuhr wahrt. Friert<br>Feinde mit Werten mit Distanz-Flächenangriffen ein.	Hat mithilfe ihrer meisterlich geführten Schicksalsuhr unsere<br>Realität aus der Urmasse geformt. Leg dich nicht mit ihr an.<br>Friert Feinde mit Werten mit Distanz-Flächenangriffen ein.	Hält mithilfe der Frucht der Schöpfung das Chaos im Zaum, das<br>das Universum zu verschlingen droht.<br>Distanz-Flächenangriffe frieren Feinde mit Werten ein.
440	From Madoka Magica The Movie -Rebellion-!<br>Mami's adorable, cheese-loving partner.<br>Area attacks Weaken Aliens and Zombies.	From Madoka Magica The Movie -Rebellion-!<br>New Magical Girl who appears before Madoka.<br>Area attacks Weaken Aliens and Zombies.	
441	Ein wandernder Krieger, der wahre Gerechtigkeit sucht.<br>Ähnelt einem gewissen Miausketier. Gewinnt Angriffskraft<br>durch erlittenen Schaden, effektiv gg. alle wertelosen Feinde!	Schätzt nichts mehr als Gerechtigkeit und opfert gerne alles<br>für seine Überzeugung! Gewinnt Angriffskraft durch erlittenen<br>Schaden, effektiv gg. alle wertelosen Feinde!	
442	Meisterhafter Meuchler, der mit seinem frechen Kind<br>im Park umherspaziert und sich an Müllsündern rächt.<br>Resistent. Rückstoß. Friert wertelose Feinde ein.	Die einsame Katze ist krank zuhause, also hilft das freche<br>Kätzchen Mama dabei, Getränke im Zug zu verkaufen.<br>Resistent. Rückstoß. Friert wertelose Feinde ein.	Papa und Kätzchen machen einen verdienten Urlaub in den<br>Tropen. Das Baby wurde im Handgepäck verstaut. Spart Geld.<br>Resistent. Rückstoß. Friert wertelose Feinde ein.
443	Das Herzstück der Grandon-Bergbaumannschaft.<br>Sie träumt davon, sich bis zum Erdkern durchzubohren.<br>Schwächt wertelose Feinde. Distanzangriff.	Bohrexperte der tapferen Grandon-Katzen. Ihre Antennen<br>haben einen längst vergrabenen Schatz entdeckt!<br>Schwächt wertelose Feinde. Distanzangriff.	Bohrexperte der tapferen Grandon-Katzen. Neue Antennen<br>für bessere Schatzsuchen?! Stark gegen Wertelose.<br>Mit schwächenden Distanzangriffen.
444	Rammt Pfeiler tief ins Erdreich! Sie braucht deine Erlaubnis<br>nicht, sie hämmert, wo immer sie möchte!<br>Robust. Rückstoß gegen Zombies! Rundumschlag.	Der Rest der Grandon-Truppe hat etwas Angst vor ihr.<br>Das passt dir nicht? Sie jagt dir einen Pflock in die Nase!<br>Robust. Rückstoß gegen Zombies! Rundumschlag.	Rammspezialist der Grandon-Katzen. Zielgenau<br>Wie ein Faden durchs Nadelöhr.<br>Robust & Rückstoß gegen Zombies. Rundumschlag.
445	Schneidet nicht nur, sondern kocht auch noch für die<br>Grandon-Katzen. Heftiger Schaden gg. rote Feinde. Überlebens-<br>wille. Wird nach erlittenem Schaden stärker. Flächenangriff.	Hat einen brandneuen Herd bekommen, um effizienter kochen<br>zu können. Heftiger Schaden gg. rote Feinde. Überlebens-<br>wille. Wird nach erlittenem Schaden stärker. Flächenangriff.	Spezialist der Grandon-Katzen für Schnitte (und Kochen). Der<br>Geschmack der Arbeiterklasse. Heftiger Flächenschaden gg.<br>rote Feinde. 100% Überlebenswille. Willensstärke.
446	Keiner gräbt wie dieses Kerlchen. Versuch’s gar nicht erst.<br>Greift nur eiserne Feinde an. Haudrauf möglich.<br>Bonuszahlung für besiegte Feinde!	Die Art, wie er Dreck schaufelt – einfach prächtig.<br>Greift nur eiserne Feinde an. Haudrauf möglich.<br>Bonuszahlung für besiegte Feinde!	Das perfekte Loch zu graben ist ein göttlicher Akt, sagt er.<br>Angriff nur gg. eiserne Feinde mit Haudrauf und<br>Zufallsangriff! Bonuszahlung für besiegte Feinde!
447	Der hiesige Sägemeister der Grandon-Truppen.<br>Hasst es, wenn Sachen nicht in Hälften geschnitten sind.<br>Heftiger Schaden und robust gegen Aliens!	Es ist so langweilig, wenn es nichts zum Schneiden gibt ...<br>In der Kiste sind Lebensmittel für Mama.<br>Heftiger Schaden und robust gegen Aliens!	Guru der Elektrosäge, der eins mit seinem Werkzeug geworden<br>ist. Sein Potenzial ist jetzt grenzenlos. Heftiger Schaden<br>und robust gegen Aliens!
448	Ein wandernder Schwertkämpfer, der ins Reich des Gemetzels<br>reiste, um die Nichirin-Klinge zu meistern.<br>Robust gegen/Irrer Schaden gegen schwarze Feinde.	Das Blut an seinen Händen verwandelte die Nichirin-Klinge<br>ins verfluchte Getsurin-Schwert. Du hast keine Chance.<br>Robust gegen/Irrer Schaden gegen schwarze Feinde.	
449	Vorsitzende der Cyber-Akademie und von allen respektiert.<br>Sie bestraft schlechte Schüler mit ätherischen Speeren.<br>Irrer Schaden gg. rote/flg. Feinde. (Distanz-Flächenang.).	Ihre Erziehungsmethoden sind mittlerweile etwas ...<br>gnadenloser. Aber wer wagt es, sich zu beschweren?<br>Irrer Schaden gg. rote/flg. Feinde. (Distanz-Flächenang.).	
450	Der ursprüngliche Drache, der eins mit dem himmlischen<br>Schloss wurde, das die Reiche der Sterblichen beherrscht.<br>Irre robust gegen rote/fliegende Feinde (Flächenangriff).	Seine drakonische Natur hat das himmlische Schloss langsam<br>über Jahrtausende verdorben ...<br>Irre robust gegen rote/fliegende Feinde (Flächenangriff).	Legendärer Drache mit Kolosstöter-Eigenschaften.<br>Irre robust gegen rote/fliegende Feinde.<br>(Flächenangriff)
451	Ein himmlischer Held, der Rache für seinen Vater schwor.<br>Seine Zauberflöte kann das böse H.E.I.K.E.-Korps aufspüren.<br>Robust gegen Engel, mit irrem Flächenschaden.	Ushi hat auf seinen Reisen einen unbezwingbaren Mecha<br>ausgegraben. Jetzt ist der Sieg gegen H.E.I.K.E. sicher.<br>Robust gegen Engel, mit irrem Flächenschaden.	
452	Ein primitives Katzenwesen aus Urzeiten mit<br>hübscher Schwanzflosse und nützlichen Kiemen.<br>Resistent gegen eiserne und Relikt-Feinde.	Diese seltsame Katze wurde bei einem Nickerchen auf dem<br>Fenstersims gefunden. Wie seltsam sie proportioniert ist!<br>Resistent gegen eiserne und Relikt-Feinde.	Besucher aus einer fernen Zeit der kultivierten, aufrecht<br>gehenden Katzen. Liebt Katzenfutter als Gourmet-Curry.<br>Irre robust gegen eiserne und Relikt-Feinde.
453			
454			
455	Kosmische Polizistin, die dimensionsübergreifend Verbrecher<br>jagt und dabei Plasmastrahlen der Gerechtigkeit einsetzt.<br>Friert rote/schwarze/Engel-Feinde mit Wellenangriffen ein.	Die stilvollste Detektivin der Galaxis, die kosmische<br>Verbrechen mit ihrem Niedlichkeitsstrahl aufdeckt.<br>Flächenwellenangriffe frieren rote/schwarze/Engel-Feinde ein.	
456	Joining the fight from Fate/stay night [HF]!<br>Takes charge of daily care for the Emiya house.<br>Tough vs Black/Aliens/Zombies (Area Attack)	Joining the fight from Fate/stay night [HF]! Fears<br>that Shirou will fall victim to the Holy Grail War.<br>Tough vs Black/Aliens/Zombies (Area Attack)	Dark Sakura joins the fight from Fate/stay night [HF]!<br>After accepting darkness into herself, Sakura assumed this form.<br>Tough vs Black/Aliens/Zombies (Area Attack)
457	A Cat who strives to be a defender of justice.<br>Spent months in his room trying to summon<br>a Heroic Spirit. Strong vs. Black enemies.	Still hasn't succeeded at Heroic Spirit<br>summoning. Now leaves his room sometimes<br>to do night patrols. Strong vs. Black enemies.	
458	A Heroic Cat Spirit proficient with both bow<br>and blade. Who knows why he dislikes<br>Shirou the Cat so? Immune to Wave Attacks.	Mastered the bow in order to claim the title<br>of Archer. His hate for Shirou the Cat keeps<br>him up at night. Long-range, Immune to Waves.	
459	A Cat who wields dagger and chain with<br>grace. At a slight visual disadvantage thanks<br>to her mask. Chance to Freeze Angels.	Gained command of a legendary lifeform.<br>Can't see much due to the mask and<br>Pegasus' head. Chance to Freeze Angels.	
460	A Cat-priest with a taste for extra-spicy mapo tofu,<br>and a Cat Spirit with flawless tactical sense.<br>Might weaken Black, stronger after damage.	One Cat has begun to tire of the game of battle,<br>but the other still can't get enough mapo tofu.<br>Might weaken Zombies, stronger after damage.	
461	Unsicher, ob das wirklich eine Katze ist ...<br>Irgendwas stimmt nicht mit diesem<br>pandimensionalen Kristall ...	Werde seiner Macht gewahr und erzittere!<br>Es besteht kein Zweifel, dass dieses Kerlchen immun gegen<br>Wellen ist. (Rundumschlag).	
462	Eine uralte Lebensform, die einst durch die Macht der Hunde<br>vernichtet wurde, wurde aber mit Superkleber repariert.<br>Friert wertelose Feinde garantiert ein. Rundumschlag.	Mysteriöse Katze, die als im All verschollen galt.<br>Hat sich neu lackieren lassen, um dünner zu wirken.<br>Friert wertelose Feinde garantiert ein. Rundumschlag.	Fällt ferngelenkt aus einer fremden Welt ein.<br>Wegen schlechtem Empfang nicht auf voller Kraft (Rundumschl.)<br>100 % Frost gegen Relikte und Wertelose.
463	Das pulsierende Juwel fokussiert mystische Kräfte in einen<br>instabilen, aber mächtigen Schlag. Rundumschlag,<br>Wellenschild und hohe Vert./Ang. gg. Zombies!	Keine Armee genialer Katzentechniker könnte garantieren,<br>dass überdimensionale Ströme die Welt nicht zerstören.<br>Rundumschlag, Wellenschild, hohe Vert./Ang. gg. Zombies.	
464	Die Hundearmee hat das Artefakt bei cBay verkauft, um ihre<br>nächste Kampagne zu finanzieren, aber nur 0,22 € verdient.<br>Hohe Verteidigung gegen wertelose Feinde. Flächenangriff.	Laut Analyse wurde dies vor langer Zeit von Katzen gefertigt<br>und dann als Gartendeko an Hunde verkauft.<br>Hohe Verteidigung gegen wertelose Feinde. Flächenangriff.	Hat sein wahres Potenzial erreicht, nachdem er die perfekt passende<br>Rüstung auf dem Flohmarkt gefunden hat. Koloss-/Behemothtöter<br>sowie robust gg. Relikte und Wertelose (Flächenang.)
465			
466	The younger twin of Super Zeus,<br>second child of the goddess Nadia.<br>Insane Long-range Area damage to Traitless.	Soars in the sky while wielding magic power from<br>the 6 sacred eggs. Is he a devil, or an angel?<br>Insane Long-range Area damage to Traitless.	
467	The highest power of the heavenly realms created<br>by Nadia, with a weakness for women and money.<br>Tough vs Traited, Area attacks 100% Weaken.	Bearing unlimited strength, he holds back the<br>forces of darkness from invading the mortal realms.<br>Tough vs Traited, Area attacks 100% Weaken.	All-powerful god, beloved of the sun, whose<br>growing power now befits the title of holy emperor.<br>Tough vs Traited, Area attacks 100% Weaken.
468	The embodiment of perfect love and courage,<br>becoming yet greater with every new rebirth.<br>Chance to Freeze Floating/Black/Aliens	Denizen of a realm beyond time and space, who<br>achieves his highest form after reaching lightspeed.<br>Chance to Freeze Floating/Black/Aliens (Area Atk)	Pioneering a realm of being beyond mortal vision,<br>the fires of heaven feed his growing powers.<br>Strong vs/Freeze Floating/Black/Aliens
469	Reigning over the realms of darkness, all demons<br>are bound to obey his infernal commandments!<br>Long-range Area attacks Slow Angels.	Deceiver who captures naive angels and<br>recruits them to the cause of the netherworld!<br>Long-range Area attacks Slow Angels.	The embrace of an uncanny moonlight has granted<br>him the ultimate dark power to rule over all reality.<br>Long-range Area attacks Slow Angels.
470	Having stolen the six sacred orbs of power<br>She has achieved unspeakable strength!<br>Immune to Waves, Massive damage to Red	Veteran of countless battles, she commands the<br>orbs to open to the gates to a higher dimension.<br>Immune to Waves, Massive damage to Red	
471	Holy android created by 12 archangels. Rumors<br>say that its powers unbalanced could undo reality.<br>Strong vs. Floating enemies.	The ultimate sacred weapon created by the highest<br>authority in Heaven to suppress the forces of evil.<br>Strong vs. Alien enemies.	
