000	Le Chat de base.<br><br>	Son atout charme : ses muscles bien dessinés.<br>Un Chat de base.<br>	Son atout charme : ses muscles bien dessinés.<br>Autre atout charme : ses beaux cheveux.<br>
469	Reigning over the realms of darkness, all demons<br>are bound to obey his infernal commandments!<br>Long-range Area attacks Slow Angels.	Deceiver who captures naive angels and<br>recruits them to the cause of the netherworld!<br>Long-range Area attacks Slow Angels.	The embrace of an uncanny moonlight has granted<br>him the ultimate dark power to rule over all reality.<br>Long-range Area attacks Slow Angels.
470	Having stolen the six sacred orbs of power<br>She has achieved unspeakable strength!<br>Immune to Waves, Massive damage to Red	Veteran of countless battles, she commands the<br>orbs to open to the gates to a higher dimension.<br>Immune to Waves, Massive damage to Red	
471	Holy android created by 12 archangels. Rumors<br>say that its powers unbalanced could undo reality.<br>Strong vs. Floating enemies.	The ultimate sacred weapon created by the highest<br>authority in Heaven to suppress the forces of evil.<br>Strong vs. Alien enemies.	
472	A chaos too great for even the netherworld bursts<br>forth... will this flame consume even the heavens?<br>Massive Omnistrike damage to Zombies	The infernal kings' power brought this<br>nemesis of the angels to his full potential.<br>Massive Omnistrike damage to Zombies	
473	Angel born from the heart of heavenly power,<br>wielding a sword that strikes down devils.<br>Massive Area damage to Aliens/Zombies	Revealed the next world via harmonic power.<br>With dawn blade in hand, the prophecy is fulfilled!<br>Massive Area damage to Aliens/Zombies	Hidden strength emerges from within thanks<br>to the blessings of Rococo's sacred light.<br>Massive Area damage to Aliens/Zombies
474	Generates radiant light by the power of Amen<br>and Wink Eye that subdues even the fiercest<br>devil. Might Weaken Red enemies.	Shoots down invading demons with her Golden<br>Cross cannon. Her devotion to the cause of the<br>holy egg is unshakeable. Might Weaken Red/Black.	Watches over the holy labyrinth with the teachings<br>of the sages behind her. Smashes evil with her<br>righteous cross. Might Weaken Red/Black/Zombies.
475	Angel born in the Holy Cat realm. Sworn to slay<br>the wicked devil-doges by the power of Light.<br>Strong vs Black (Area Attack)	Gathers the divine harmonic forces of the Cats to<br>open the gates to a new realm of holy potential.<br>Strong vs Black (Area Attack)	
476	Behold the next stage of devilish evolution!<br>Gimme a Catfruit and I might let you live!<br>Strong vs Angels (Area Attack)	The lord of devils. His ambition threatens<br>to consume all light, love, and Cat Food.<br>Strong vs Angels (Area Attack)	
477	My mighty body will fend off devilish attacks!<br>(If it's too much, I'll just get an angel to step in.)<br>Strong vs Aliens (Area Attack)	Defender of a profitable holy meatball business.<br>Still, sometimes the angels have to lend a hand.<br>Strong vs Aliens (Area Attack)	
478	La manifestation ultime des éléments, issue d’une étoile<br>mourante aux confins de l’univers.<br>Résistance acharnée, peut affaiblir, brise-barrière.	Une visionnaire cosmique omnisciente venue du futur.<br>Sa maîtrise des éléments lui permet d’ignorer les barrières.<br>Résistance acharnée, 100 % d’affaiblissement, brise-barrière.	
479			
480			
481	Un scientifique redouté obsédé par les forces<br>extradimensionnelles qui transcendent la matière.<br>Balèze contre les ennemis noirs/aliens avec attaques de zone.	Un chercheur temporel réputé qui maîtrise les forces occultes<br>capables d’anéantir la matière. Ses att. de zone<br>infligent des dégâts massifs aux ennemis noirs/aliens.	
482	Yuki's brother, who arrived in the world beyond as a<br>boy. Seeking to advance past the sins of the past.<br>Area attacks might Slow and Weaken Angels/Aliens.	Souma was saved from being swept up by a Cat<br>and granted powers to summon lost souls.<br>Area attacks might Slow and Weaken Angels/Aliens.	In solidarity, Souma has grown a pair of cat ears.<br>His power is resonate and his soul is powered up.<br>Area attacks Slow and Weaken Floating/Angels/Aliens.
483	Heroes from Shoumetsu Toshi! Two wanderers in<br>the ruins of the city, confronting their own sins.<br>Tough vs Aliens, Area Attack	Joined by a Cat picked up at the seaside, our<br>wanderers set their sights on the ruined city.<br>Tough vs Aliens, Area Attack	
484	Petite sœur de Chalkyrie. Marquée par les ténèbres.<br>Agente du Valhalla, elle combat le mal depuis l’abîme !<br>Bloque les vagues offensives. Frappe par vague offensive.	Benjamine des Chalkyries. Redoutable chasseuse de primes.<br>Elle est accompagnée de ses agents pour combattre le mal.<br>Bloque les vagues offensives. Frappe par vague offensive.	
485			
486			
487	Recruited from Evangelion!<br>Anti-NERV production model maintained by WILLE.<br>Long-range debuffs versus Floating enemies!	Recruited from Evangelion! Wields a variety<br>of weapons but specializes in providing cover fire.<br>Long-range debuffs versus Floating enemies!	
488	Cats have taken over WILLE's flagship! Seems they<br>respected the original design and avoided customizing it.<br>Massive Area damage vs. Angels and Zombies.	Cat-powered airship built to overthrow NERV.<br>A terrifying weapon staffed by capricious Cats...<br>Massive Area damage vs. Angels and Zombies.	Giant airship with only the captain remaining onboard.<br>Ready to do what it must to bear the hopes of Catkind.<br>Massive Area damage vs. Angels and Zombies.
489	Recruited from Evangelion! A bright and<br>charismatic officer who acts as Shinji's guardian.<br>Might break Barriers and Slow Aliens!	Recruited from Evangelion! The ruthless<br>leader of the anti-NERV organization WILLE.<br>Might break Barriers and Slow Aliens!	
490	Recruited from Evangelion! Cool researcher<br>from NERV's technical development team.<br>Area attacks might Weaken Aliens.	Recruited from Evangelion! After becoming<br>a WILLE officer, treats Shinji coolly.<br>Area attacks might Weaken Aliens.	
491	Recruited from Evangelion!<br>But it seems she has no memory of Shinji...?<br>Tough vs Black, Area attacks might Weaken.	Recruited from Evangelion!<br>Beginning to wonder about her true identity...<br>Tough vs Black, Area attacks might Weaken.	
492			
493	Elle crée ou détruit toute vie à sa guise.<br>Ses attaques de zone longue portée infligent<br>des dégâts extrêmes aux ennemis à caractéristiques.	La déesse ultime, qui use du mana issu de l’Arbre de vie<br>pour anéantir les forces du mal. Dégâts extrêmes<br>contre les ennemis à caract. (Att. de zone longue portée)	
494	Une beauté des mers aux commandes de son propre navire !<br>Elle doit seulement empêcher les Chats de le faire couler.<br>Peut immobiliser les ennemis rouges/noirs/métal.	La recommandation de son équipage félin lui a valu de<br>repartir en mer. Comme les Chats sont de bonne compagnie !<br>Peut immobiliser les ennemis rouges/noirs/métal.	
495	Toréador intrépide qui esquive le danger. Olé !<br>Pacifiste dans l’âme, sa seule arme est sa cape écarlate.<br>Peut esquiver les attaques des ennemis rouges.	Une danseuse gracieuse qui esquive le danger. Olé !<br>Esquive aussi avec virtuosité les attaques des ennemis rouges<br>(ainsi que certains matous un peu trop entreprenants).	Vigueur et virtuosité de sa part sur cette belle danse.<br>Voile pailleté et mouvements hypnotiques l'aident parfois<br>à annuler les attaques des ennemis rouges.
496	Cette sublime guerrière dispose d’une lame invincible<br>et d’un corps robuste. Ralentit les ennemis noirs/zombies.<br>Ses frappes peuvent être sauvages.	Une beauté incomparable qui détruit sans pitié<br>ses adversaires en gardant tout son aplomb au combat.<br>Ralentit les noirs/zombies, frappes possiblement sauvages.	Cette digne héroïne a résisté à la corruption<br>des armes maudites et cherche désormais à apporter la paix.<br>Ralentit noirs/zombies à 100 %, chances de frappe sauvage.
497	With extinction looming, this Cat<br>will survive by evolving a mightier jaw.<br>	Sometimes a jaw isn't enough?<br>Get swole for MORE POWER!<br>	
498	Joining the fight from Shakurel Planet!<br>Do you feel like that super chin makes<br>the King of the Beasts a bit less regal?	Joining the fight from Shakurel Planet!<br>The symbol of power is no longer the mane,<br>but the JAW! ...said the press release.	
499	Joining the fight from Shakurel Planet!<br>I would have liked to grow wings, but<br>instead I evolved a powerful chin.	Joining the fight from Shakurel Planet!<br>Hey, where are the stripes on my jaw?!<br>Can't those Cats do anything right?	
500	Joining the fight from Shakurel Planet!<br>Leaves just don't satisfy anymore... maybe<br>bones, trees and rocks are more filling.	Joining the fight from Shakurel Planet!<br>Even though I can now chew up bones,<br>trees and rocks, I can't give up on bamboo.	
501	Joining the fight from The Battle Cats Unite!<br>We love games and are Super friends!<br>Tough vs Traitless enemies! (Area Attack)	Joining the fight from The Battle Cats Unite!<br>Even when we grow up, we'll never stop playing!<br>Tough vs Traitless enemies! (Area Attack)	Joining the fight from The Battle Cats Together!<br>Even when we grow up, we'll never stop playing!<br>Tough vs Traitless enemies! (Area Attack)
502	L’argent ne fait pas le bonheur, mais il lui a permis de<br>s’offrir un petit arsenal qui lui met du baume au cœur.<br>Vagues offensives, esquive les att. des ennemis sans caract.	Son majorbot s’excuse toujours pour les bêtises de Myr<br>(et pour les ravages qu’elle cause partout où elle va).<br>Vagues offensives, esquive les att. des ennemis sans caract.	Princesse de l’espace bourgeoise qui vit la belle vie,<br>mais ne résiste pas à un bon cheeseburger.<br>Vagues offensives, esquive les att. des ennemis sans caract.
503			
504			
505	Une gigantesque bête à corne. Il lance de violents éclairs<br>qui secouent le firmament.<br>Chances de repousser/ralentir les ennemis sans caract.	Nul ne résiste au roi cornu qui porte l’âme<br>des tempêtes et une armure d’ébène impénétrable.<br>Chances de repousser/ralentir les ennemis sans caract.	Sur une montagne sacrée, dans la lumière destructrice,<br>il a appris à annihiler toute vie. (att. de zone)<br>100 % de chances de repousser/ralent. les ennem. sans caract.
506	Joining the fight from Merc Storia!<br>Renounced his pirate past to become a marine.<br>100% Survives, Chance of Savage Blow. (Area)	Joining the fight from Merc Storia!<br>Wields power for the cause of one special person.<br>100% Survives, Chance of Savage Blow. (Area)	Joining the fight from Merc Storia! A nameless pirate<br>who wants to be relieved of the power that he wields.<br>100% Survives, Chance of Savage Blow. (Area)
507	Un Chat héroïque qui fend l’air avec sa cape (tout en<br>s’inquiétant de perdre son travail à mi-temps).<br>Affaiblit les sans caract. et annule les vagues offensives.	Ses troubles alimentaires l’ont rendu quelque peu macho.<br>Il chante dans le parc quand il est tout seul.<br>Affaiblit les sans caract. et annule les vagues offensives.	
508	A Cat endlessly training to fight the strongest<br>warriors. Sadly, none seem to be around now.<br>Might Freeze Black enemies.	I hoped to meet one warrior stronger than me.<br>Sadly, everyone seems to fit that description.<br>Might Freeze Black enemies.	
509	A Cat who seems to have stuck buns in her<br>hair. Trying to learn the Spinning Bird Kick.<br>Small chance of Critical.	Beautiful Cat working for the ICPO.<br>Mesmerizing kicks stun her opponents.<br>Small chance of Critical.	
510	Joining the fight from Street Fighter V!<br>Seeks mighty warriors to fight to the death.<br>Insane Area damage vs. Traitless.	Joining the fight from Street Fighter V!<br>Master of the Fist, attacks with pure killing spirit.<br>Insane Area damage vs. Traitless.	
511	Joining the fight from Street Fighter V!<br>A hero walking the path of a true fighter.<br>Chance to deliver a Savage Blow (Area Attack)	Joining the fight from Street Fighter V!<br>Seeking a rival who will finally test his skills.<br>Chance to deliver a Savage Blow (Area Attack)	Joining the fight from Street Fighter V!<br>Embraced the forbidden power of the Dark Hado.<br>Stronger after damage, chance of Savage Blow!
512	Joining the fight from Street Fighter V!<br>ICPO agent searching for her lost father.<br>Might Knockback Red, Black, and Aliens.	Joining the fight from Street Fighter V!<br>Can you withstand her lightning kicks?<br>Might Knockback Red, Black, and Aliens.	
513	Joining the fight from Street Fighter V!<br>Hardened soldier seeking peace for his home.<br>Tough vs Floating, Slow/Weaken	Joining the fight from Street Fighter V!<br>Crush villains with a Somersault Kick!<br>Tough vs Floating, Slow/Weaken	
514	Joining the fight from Street Fighter V!<br>A towering wrestler called "Red Cyclone".<br>Omnistrike, might avoid Zombie damage	Joining the fight from Street Fighter V!<br>Submit to the force of his Cyclone Lariat!<br>Omnistrike, might avoid Zombie damage	
515	Joining the fight from Street Fighter V!<br>Gentle defender of the Amazon forests.<br>Massive Omnistrike damage vs Aliens	Joining the fight from Street Fighter V!<br>Strikes with a chaotic Rolling Attack!<br>Massive Omnistrike damage vs Aliens	
