000	安価で生産できる基本キャラ<br><br>	鍛えぬいた筋肉がチャームポイントの<br>基本キャラ<br>	鍛えぬいた筋肉に男前なタテガミが<br>チャームポイントの基本キャラ<br>
376	NYASAが３０年前に作ったネコ型探査機<br>ワープ無効、エイリアンにめっぽう強いという<br>最低限の機能を搭載したプロトタイプ	NYASAが作った超最新ネコ型探査機。ワープ無効<br>エイリアンにめっぽう強いという最低限の機能に加え<br>衛星放送や大人のチャンネルも１日千円で受信可能	NYASAが作ったネコ型衛星基地。ワープ無効<br>エイリアンにめっぽう強いという最低限の機能に加え<br>向かいのホームや路地裏の窓まで君を探すことが可能
377	４００戦無敗のフェンシングチャンピオン<br>余りの強さで挑戦者がいなくなり転向を考えている<br>必ずバリアを貫く	なかなか剣道の世界に馴染めないネコ<br>華々しい過去を引きずって試合に挑む<br>必ずバリアを貫く	現役スポーツ選手の一線を退いて観光業を始めた<br>最近やっと待ち合わせ場所に使われるようになった<br>必ずバリアを貫く
378	大切な者を失ったもう一人のミタマの姿<br>葬列がどこに向かうのか、誰も知らない(遠方範囲攻撃)<br>属性を持たない敵に打たれ強く、必ず動きを遅くする	失った愛を探しさまよう未亡人。愛しい人との思い出に<br>今も囚われ続ける。属性を持たない敵に打たれ強く<br>必ず動きを遅くし攻撃力を下げる(遠方範囲攻撃)	
379	「市営体育館の魔女」と恐れられた名選手<br>会心のスパイクで相手をノックアウト<br>ごくたまにクリティカル攻撃を放つ(遠方攻撃)	「市民ホールのバラ」と恐れられたプリマにゃんこ<br>空高く舞い上がりトウシューズを観客に突き刺す<br>ごくたまにクリティカル攻撃を放つ(遠方攻撃)	「インドカレーの王子さま」と呼ばれる人気シェフ<br>香辛料の効いた一撃はメタルな敵の動きを一瞬遅くし<br>ごくたまにクリティカルを放つ(遠方攻撃)
380	己の力のみを信じるやんちゃな子供<br>自分の中に眠っているチカラをまだ知る由もない<br>属性を持つ敵に超ダメージを与える(遠方範囲攻撃)	仲間を救うために力を尽くす気高き銃士<br>勇気を胸に突き進む。波動ダメージを無効にし<br>属性を持つ敵に超ダメージを与える(遠方範囲攻撃)	
381	たくさんの民から選び抜かれたネコ<br>人々に幸せを分け与えるため畑を耕し続ける<br>敵を倒したときにお金を多くもらえる	たくさんの民から選び抜かれたネコ<br>カブが儲かるという噂を聞いて手を出した<br>敵を倒したときにお金を多くもらえる	
382	ガラスでできたネコ<br>人生は当たって砕ける一発勝負だと思っている<br>属性を持たない敵の動きを遅くする(一回攻撃)	強化されたガラスのネコ<br>それでも一発勝負の生き方は変えられない<br>属性を持たない敵の動きを遅くする(一回攻撃)	肉体にさらなる磨きをかけた永遠の輝きを放つネコ<br>一瞬の輝きを大切にして生きている。属性を持たない<br>敵をふっとばして動きを遅くする(一回攻撃)
383	強い者にはひれ伏すのが我が家のオキテ！<br>と、勝手な家訓でにゃんこ軍団に加入した<br>(遠方範囲攻撃)	にゃんこ軍団から友好の証に<br>それっぽい仮面を作ってもらったキャラクター<br>じつは中学二年生の娘がいる。(遠方範囲攻撃)	
384	実況パワフルプロ野球から参戦！<br>クールに見えて、実は気配り上手なマネージャー<br>たまに赤い敵をふっとばす	実況パワフルプロ野球から参戦！<br>運動神経抜群で合気道の達人<br>たまに赤い敵をふっとばす	
385	実況パワフルプロ野球から参戦！<br>俊足が自慢の外野手<br>	実況パワフルプロ野球から参戦！<br>語尾に「やんす」をつけるのが口癖<br>	実況パワフルプロ野球から参戦！<br>野球と同じぐらいロボットアニメも大好き<br>必ず波動を放つ(範囲攻撃)
386	実況パワフルプロ野球から参戦！<br>慈愛と母性に満ちたマネージャー<br>たまに天使の攻撃力をダウンさせる	実況パワフルプロ野球から参戦！<br>自分より他人の世話を優先してしまいがち<br>たまに天使の攻撃力をダウンさせる	
387	実況パワフルプロ野球から参戦！<br>明るく元気いっぱいのマネージャー<br>エイリアンに打たれ強い	実況パワフルプロ野球から参戦！<br>部員のモチベーションをあげるのが得意<br>エイリアンに打たれ強い	
388	実況パワフルプロ野球から参戦！<br>いつも主人公を追っかけている後輩マネージャー<br>たまにゾンビをふっとばす	実況パワフルプロ野球から参戦！<br>彼女の愛はとても重い<br>たまにゾンビをふっとばす	
389	実況パワフルプロ野球から参戦！<br>自由奔放で陽気なマネージャー<br>たまに浮いてる敵の動きを一瞬止める	実況パワフルプロ野球から参戦！<br>実は空気を読む気配りタイプだったりする<br>たまに浮いてる敵の動きを一瞬止める	
390	実況パワフルプロ野球から参戦！<br>料理の腕は壊滅的にダメ<br>エイリアンに超ダメージを与える(範囲攻撃)	実況パワフルプロ野球から参戦！<br>真面目すぎて騙されやすいのが玉にきず<br>エイリアンに超ダメージを与える(範囲攻撃)	実況パワフルプロ野球から参戦した謎のヒーロー<br>正体は秘密だけど、実は早川あおい<br>エイリアンに超ダメージを与える(遠方範囲攻撃)
391	実況パワフルプロ野球から参戦！<br>おてんばで勝気な後輩の女子投手<br>天使に超ダメージを与える(範囲攻撃)	実況パワフルプロ野球から参戦！<br>かなりの甘党でプリン好き<br>天使に超ダメージを与える(範囲攻撃)	実況パワフルプロ野球から参戦した謎のヒーロー<br>胸にはタチバナグループのロゴがある<br>天使に超ダメージを与える(範囲攻撃)
392	実況パワフルプロ野球から参戦！<br>キャッチング能力が高い後輩の捕手<br>ゾンビにめっぽう強い	実況パワフルプロ野球から参戦！<br>実家がお寺で、きんつばが大好物<br>ゾンビにめっぽう強い	実況パワフルプロ野球から参戦した謎のヒーロー<br>胸にはお寺の名前が記されている<br>ゾンビにめっぽう強い(範囲攻撃)
393	実況パワフルプロ野球から参戦！<br>野球一筋で、女子からも人気が高い外野手<br>浮いてる敵と黒い敵の動きを遅くする(範囲攻撃)	実況パワフルプロ野球から参戦！<br>実は、女子っぽくない性格を気にしている<br>浮いてる敵と黒い敵の動きを遅くする(範囲攻撃)	実況パワフルプロ野球から参戦！<br>最初は恥ずかしがっていたがそのうちノリノリ状態に<br>浮いてる敵と黒い敵の動きを遅くする(範囲攻撃)
394	実況パワフルプロ野球から参戦！<br>美形で人当たりが良く運動神経も抜群<br>赤い敵と天使にめっぽう強い(遠方範囲攻撃)	実況パワフルプロ野球から参戦！<br>甲子園に行く約束を今も胸に秘めている<br>赤い敵と天使にめっぽう強い(遠方範囲攻撃)	実況パワフルプロ野球から参戦！<br>新変化球、暗黒星雲で三振の山を築く<br>赤い敵と天使にめっぽう強い(遠方範囲攻撃)
395	実況パワフルプロ野球から参戦！<br>安定した守備力と高い出塁力を誇る遊撃手<br>体力低下で攻撃力上昇(範囲攻撃)	実況パワフルプロ野球から参戦！<br>野球をやるためなら男子生徒のふりもする<br>体力低下で攻撃力上昇(範囲攻撃)	実況パワフルプロ野球から参戦した謎のヒーロー<br>ここだけの話、正体は小山雅(範囲攻撃)<br>体力低下で攻撃力上昇、波動ダメージを無効にする
396	全てのドラゴンの始祖とされている伝説の古龍<br>圧倒的な破壊力で敵を攻撃する<br>エイリアンとゾンビにめっぽう強い(遠方範囲攻撃)	いにしえの力を極限まで高めた古龍王<br>圧倒的な破壊力で敵を攻撃する<br>エイリアンとゾンビにめっぽう強い(遠方範囲攻撃)	古龍石の力により真の姿へと変貌を遂げた古龍皇帝<br>解き放たれる光の一撃で道を阻む者を葬り去る<br>エイリアンとゾンビにめっぽう強い(遠方範囲攻撃)
397	一族に伝わる退魔の刀で悪事を裁く女子中学生<br>ごくたまにクリティカル攻撃を放ち、メタルな敵に<br>打たれ強く、動きを遅くし攻撃力を下げる	一族の使命と部活の両立を目指す女子高校生<br>ごくたまにクリティカル攻撃を放ち、メタルな敵に<br>打たれ強く、動きを遅くし攻撃力を下げる	映える衣装を身にまとい任務を遂行する女子高校生<br>ごくたまにクリティカル攻撃を放ち、メタルな敵に<br>超打たれ強く、動きを遅くし攻撃力を下げる
398	ハニトーのマスコットキャラが参戦！<br>ハニトー星からやってきたキャラクター。夢は地球に<br>ハニトーランドを作る事！エイリアンにめっぽう強い	ハニトーのマスコットキャラが参戦！<br>新たなバリエーションを求めてにゃんこをトッピング<br>エイリアンにめっぽう強い	
399	めんトリから参戦！<br>話しかけると面倒くさそうに相槌をうってくれる<br>浮いてる敵に打たれ強い	めんトリから参戦！やる気がある時は大げさで<br>ちょっぴりうさんくさい相槌を見せることも<br>浮いてる敵に打たれ強い	
400	めんトリから参戦！めんトリのかわいい妹さん<br>男らしい言葉とリアクションが特徴<br>ごくたまにクリティカル攻撃を放つ	めんトリから参戦！厳しい返事ばかりするけど<br>素直になれないお年頃なだけで根は優しい子<br>ごくたまにクリティカル攻撃を放つ	
401	宇宙の果てからやって来た雷の精霊<br>降り立った星に雷の源を宿すと言われている<br>たまにエイリアンの動きを止める	月を引き裂くほどの迅雷を操る精霊<br>荒れ狂うイカヅチはバリアをも貫く力を持つ<br>エイリアンに打たれ強く、動きを必ず止める	宇宙の果てまで照らす強大な力を持つ迅雷の精霊王<br>宇宙を横断する雷光はバリアを貫く力を持ち<br>エイリアンに打たれ強く、動きを必ず止める
402	エヴァンゲリオンから参戦！<br>突然エヴァに乗ることになった内気な少年<br>父親との間にわだかまりを持つ(範囲攻撃)	エヴァンゲリオンから参戦！<br>エヴァに乗ることで皆から<br>認められたいと願っている(範囲攻撃)	エヴァンゲリオンから参戦！心からの友達と出会い<br>全てをやり直すために再びエヴァに乗る決意をした少年<br>エイリアンとゾンビに打たれ強い(範囲攻撃)
